recording_started_at_utc,sample_timestamp_utc,device_name,channel,channel_sample_index,value_uv
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,1,-0.488281
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,2,-0.488281
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,3,35.156250
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,4,-93.261719
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,5,387.695312
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,6,920.410156
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,7,-121.582031
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,8,-1000.000000
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,9,-303.710938
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,10,999.511719
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,11,297.851562
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.938Z,Muse-2E72,TP10,12,-962.890625
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.939Z,Muse-2E72,AF8,1,-0.488281
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.939Z,Muse-2E72,AF8,2,-3.906250
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.939Z,Muse-2E72,AF8,3,32.714844
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.939Z,Muse-2E72,AF8,4,-107.910156
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.939Z,Muse-2E72,AF8,5,377.929688
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.939Z,Muse-2E72,AF8,6,439.453125
2026-08-04T19:00:29.591Z,2026-08-04T19:00:29.939Z,Muse-2E72,AF8,7,-455.566406
